word,translation,transcription,topic
apple, яблоко, ˈæpl, Еда и напитки
bread, хлеб, brɛd, Еда и напитки
milk, молоко, mɪlk, Еда и напитки
cheese, сыр, tʃiːz, Еда и напитки
chicken, курица, ˈtʃɪkɪn, Еда и напитки
coffee, кофе, ˈkɒfi, Еда и напитки
tea, чай, tiː, Еда и напитки
water, вода, ˈwɔːtə, Еда и напитки
juice, сок, dʒuːs, Еда и напитки
egg, яйцо, ɛɡ, Еда и напитки
cake, торт, keɪk, Еда и напитки
banana, банан, bəˈnɑːnə, Еда и напитки
meat, мясо, miːt, Еда и напитки
fish, рыба, fɪʃ, Еда и напитки
soup, суп, suːp, Еда и напитки
butter, масло, ˈbʌtə, Еда и напитки
sugar, сахар, ˈʃʊɡə, Еда и напитки
salt, соль, sɒlt, Еда и напитки
rice, рис, raɪs, Еда и напитки
pasta, паста, ˈpæstə, Еда и напитки
car, машина, kɑː, Путешествия и транспорт
train, поезд, treɪn, Путешествия и транспорт
plane, самолет, pleɪn, Путешествия и транспорт
bus, автобус, bʌs, Путешествия и транспорт
ship, корабль, ʃɪp, Путешествия и транспорт
bike, велосипед, baɪk, Путешествия и транспорт
taxi, такси, ˈtæksi, Путешествия и транспорт
station, станция, ˈsteɪʃən, Путешествия и транспорт
ticket, билет, ˈtɪkɪt, Путешествия и транспорт
luggage, багаж, ˈlʌɡɪdʒ, Путешествия и транспорт
passport, паспорт, ˈpɑːspɔːt, Путешествия и транспорт
journey, путешествие, ˈdʒɜːni, Путешествия и транспорт
trip, поездка, trɪp, Путешествия и транспорт
flight, рейс, flaɪt, Путешествия и транспорт
bridge, мост, brɪdʒ, Путешествия и транспорт
airport, аэропорт, ˈeəpɔːt, Путешествия и транспорт
road, дорога, rəʊd, Путешествия и транспорт
highway, шоссе, ˈhaɪweɪ, Путешествия и транспорт
ferry, паром, ˈfɛri, Путешествия и транспорт
subway, метро, ˈsʌbweɪ, Путешествия и транспорт
computer, компьютер, kəmˈpjuːtə, Технологии
internet, интернет, ˈɪntənɛt, Технологии
software, программное обеспечение, ˈsɒftweə, Технологии
hardware, аппаратное обеспечение, ˈhɑːdweə, Технологии
keyboard, клавиатура, ˈkiːbɔːd, Технологии
mouse, мышь, maʊs, Технологии
screen, экран, skriːn, Технологии
printer, принтер, ˈprɪntə, Технологии
smartphone, смартфон, ˈsmɑːtfəʊn, Технологии
tablet, планшет, ˈtæblɪt, Технологии
robot, робот, ˈrəʊbɒt, Технологии
camera, камера, ˈkæmərə, Технологии
battery, батарея, ˈbætəri, Технологии
charger, зарядное устройство, ˈtʃɑːdʒə, Технологии
network, сеть, ˈnɛtwɜːk, Технологии
signal, сигнал, ˈsɪɡnəl, Технологии
file, файл, faɪl, Технологии
code, код, kəʊd, Технологии
email, электронная почта, ˈiːmeɪl, Технологии
server, сервер, ˈsɜːvə, Технологии
music, музыка, ˈmjuːzɪk, Музыка и искусство
song, песня, sɒŋ, Музыка и искусство
guitar, гитара, ɡɪˈtɑː, Музыка и искусство
piano, пианино, piˈænəʊ, Музыка и искусство
drums, барабаны, drʌmz, Музыка и искусство
violin, скрипка, ˌvaɪəˈlɪn, Музыка и искусство
artist, художник, ˈɑːtɪst, Музыка и искусство
painting, картина, ˈpeɪntɪŋ, Музыка и искусство
theater, театр, ˈθɪətə, Музыка и искусство
dance, танец, dæns, Музыка и искусство
concert, концерт, ˈkɒnsət, Музыка и искусство
sculpture, скульптура, ˈskʌlptʃə, Музыка и искусство
museum, музей, mju(ː)ˈzɪəm, Музыка и искусство
stage, сцена, steɪdʒ, Музыка и искусство
choir, хор, ˈkwaɪə, Музыка и искусство
microphone, микрофон, ˈmaɪkrəfəʊn, Музыка и искусство
composer, композитор, kəmˈpəʊzə, Музыка и искусство
band, группа, bænd, Музыка и искусство
melody, мелодия, ˈmɛlədi, Музыка и искусство
performance, выступление, pəˈfɔːməns, Музыка и искусство
school, школа, skuːl, Школа и образование
teacher, учитель, ˈtiːtʃə, Школа и образование
student, студент, ˈstjuːdənt, Школа и образование
class, класс, klɑːs, Школа и образование
lesson, урок, ˈlɛsn, Школа и образование
homework, домашнее задание, ˈhəʊmwɜːk, Школа и образование
exam, экзамен, ɪɡˈzæm, Школа и образование
book, книга, bʊk, Школа и образование
pen, ручка, pɛn, Школа и образование
pencil, карандаш, ˈpɛnsl, Школа и образование
board, доска, bɔːd, Школа и образование
desk, парта, dɛsk, Школа и образование
notebook, тетрадь, ˈnəʊtbʊk, Школа и образование
library, библиотека, ˈlaɪbrəri, Школа и образование
subject, предмет, ˈsʌbdʒɪkt, Школа и образование
history, история, ˈhɪstəri, Школа и образование
math, математика, mæθ, Школа и образование
science, наука, ˈsaɪəns, Школа и образование
university, университет, ˌjuːnɪˈvɜːsɪti, Школа и образование
graduation, выпускной, ˌɡrædjʊˈeɪʃən, Школа и образование
family, семья, ˈfæmɪli, Семья и отношения
mother, мама, ˈmʌðə, Семья и отношения
father, папа, ˈfɑːðə, Семья и отношения
brother, брат, ˈbrʌðə, Семья и отношения
sister, сестра, ˈsɪstə, Семья и отношения
child, ребенок, tʃaɪld, Семья и отношения
husband, муж, ˈhʌzbənd, Семья и отношения
wife, жена, waɪf, Семья и отношения
grandmother, бабушка, ˈɡrænmʌðə, Семья и отношения
grandfather, дедушка, ˈɡrænfɑːðə, Семья и отношения
cousin, двоюродный брат/сестра, ˈkʌzn, Семья и отношения
aunt, тетя, ɑːnt, Семья и отношения
uncle, дядя, ˈʌŋkl, Семья и отношения
friend, друг, frɛnd, Семья и отношения
neighbor, сосед, ˈneɪbə, Семья и отношения
baby, младенец, ˈbeɪbi, Семья и отношения
relationship, отношения, rɪˈleɪʃənʃɪp, Семья и отношения
marriage, брак, ˈmærɪdʒ, Семья и отношения
divorce, развод, dɪˈvɔːs, Семья и отношения
love, любовь, lʌv, Семья и отношения
holiday, праздник, ˈhɒlɪdeɪ, Праздники и традиции
birthday, день рождения, ˈbɜːθdeɪ, Праздники и традиции
wedding, свадьба, ˈwɛdɪŋ, Праздники и традиции
Christmas, Рождество, ˈkrɪsməs, Праздники и традиции
New Year, Новый год, njuː jɪə, Праздники и традиции
Easter, Пасха, ˈiːstə, Праздники и традиции
gift, подарок, ɡɪft, Праздники и традиции
party, вечеринка, ˈpɑːti, Праздники и традиции
fireworks, фейерверк, ˈfaɪəwɜːks, Праздники и традиции
festival, фестиваль, ˈfɛstɪvəl, Праздники и традиции
tradition, традиция, trəˈdɪʃən, Праздники и традиции
costume, костюм, ˈkɒstjuːm, Праздники и традиции
cake, торт, keɪk, Праздники и традиции
celebration, празднование, ˌsɛlɪˈbreɪʃən, Праздники и традиции
decorations, украшения, ˌdɛkəˈreɪʃənz, Праздники и традиции
dance, танец, dæns, Праздники и традиции
song, песня, sɒŋ, Праздники и традиции
invitation, приглашение, ˌɪnvɪˈteɪʃən, Праздники и традиции
anniversary, годовщина, ˌænɪˈvɜːsəri, Праздники и традиции
holiday dinner, праздничный ужин, ˈhɒlɪdeɪ ˈdɪnə, Праздники и традиции
happy, счастливый, ˈhæpi, Эмоции и чувства
sad, грустный, sæd, Эмоции и чувства
angry, злой, ˈæŋɡri, Эмоции и чувства
excited, взволнованный, ɪkˈsaɪtɪd, Эмоции и чувства
nervous, нервный, ˈnɜːvəs, Эмоции и чувства
tired, уставший, ˈtaɪəd, Эмоции и чувства
scared, испуганный, skeəd, Эмоции и чувства
bored, скучающий, bɔːd, Эмоции и чувства
confused, сбитый с толку, kənˈfjuːzd, Эмоции и чувства
surprised, удивленный, səˈpraɪzd, Эмоции и чувства
calm, спокойный, kɑːm, Эмоции и чувства
proud, гордый, praʊd, Эмоции и чувства
jealous, ревнивый, ˈdʒɛləs, Эмоции и чувства
in love, влюбленный, ɪn lʌv, Эмоции и чувства
lonely, одинокий, ˈləʊnli, Эмоции и чувства
ashamed, стыдящийся, əˈʃeɪmd, Эмоции и чувства
brave, смелый, breɪv, Эмоции и чувства
grateful, благодарный, ˈɡreɪtfʊl, Эмоции и чувства
hopeful, надеющийся, ˈhəʊpfʊl, Эмоции и чувства
confident, уверенный, ˈkɒnfɪdənt, Эмоции и чувства
doctor, врач, ˈdɒktə, Здоровье и медицина
nurse, медсестра, nɜːs, Здоровье и медицина
hospital, больница, ˈhɒspɪtl, Здоровье и медицина
medicine, лекарство, ˈmɛdsɪn, Здоровье и медицина
pill, таблетка, pɪl, Здоровье и медицина
surgery, операция, ˈsɜːdʒəri, Здоровье и медицина
pain, боль, peɪn, Здоровье и медицина
headache, головная боль, ˈhɛdˌeɪk, Здоровье и медицина
fever, жар, ˈfiːvə, Здоровье и медицина
injury, травма, ˈɪndʒəri, Здоровье и медицина
bandage, бинт, ˈbændɪdʒ, Здоровье и медицина
health, здоровье, hɛlθ, Здоровье и медицина
toothache, зубная боль, ˈtuːθeɪk, Здоровье и медицина
cold, простуда, kəʊld, Здоровье и медицина
cough, кашель, kɒf, Здоровье и медицина
allergy, аллергия, ˈælərdʒi, Здоровье и медицина
infection, инфекция, ɪnˈfɛkʃən, Здоровье и медицина
vaccine, вакцина, ˈvæksiːn, Здоровье и медицина
treatment, лечение, ˈtriːtmənt, Здоровье и медицина
appointment, запись к врачу, əˈpɔɪntmənt, Здоровье и медицина
shirt, рубашка, ʃɜːt, Мода и одежда
pants, брюки, pænts, Мода и одежда
dress, платье, drɛs, Мода и одежда
skirt, юбка, skɜːt, Мода и одежда
shoes, обувь, ʃuːz, Мода и одежда
hat, шляпа, hæt, Мода и одежда
coat, пальто, kəʊt, Мода и одежда
jacket, куртка, ˈdʒækɪt, Мода и одежда
sweater, свитер, ˈswɛtə, Мода и одежда
jeans, джинсы, dʒiːnz, Мода и одежда
socks, носки, sɒks, Мода и одежда
scarf, шарф, skɑːf, Мода и одежда
gloves, перчатки, ɡlʌvz, Мода и одежда
belt, ремень, bɛlt, Мода и одежда
tie, галстук, taɪ, Мода и одежда
shorts, шорты, ʃɔːts, Мода и одежда
boots, сапоги, buːts, Мода и одежда
pajamas, пижама, pəˈdʒɑːməz, Мода и одежда
umbrella, зонт, ʌmˈbrɛlə, Мода и одежда
suit, костюм, suːt, Мода и одежда
house, дом, haʊs, Дом и быт
room, комната, ruːm, Дом и быт
kitchen, кухня, ˈkɪtʃɪn, Дом и быт
bathroom, ванная, ˈbɑːθruːm, Дом и быт
bedroom, спальня, ˈbɛdruːm, Дом и быт
living room, гостиная, ˈlɪvɪŋ ruːm, Дом и быт
sofa, диван, ˈsəʊfə, Дом и быт
table, стол, ˈteɪbl, Дом и быт
chair, стул, tʃeə, Дом и быт
bed, кровать, bɛd, Дом и быт
lamp, лампа, læmp, Дом и быт
carpet, ковер, ˈkɑːpɪt, Дом и быт
window, окно, ˈwɪndəʊ, Дом и быт
door, дверь, dɔː, Дом и быт
fridge, холодильник, frɪdʒ, Дом и быт
oven, духовка, ˈʌvn, Дом и быт
sink, раковина, sɪŋk, Дом и быт
mirror, зеркало, ˈmɪrə, Дом и быт
washing machine, стиральная машина, ˈwɒʃɪŋ məˈʃiːn, Дом и быт
vacuum cleaner, пылесос, ˈvækjuːm ˈkliːnə, Дом и быт
city, город, ˈsɪti, Город и деревня
village, деревня, ˈvɪlɪdʒ, Город и деревня
street, улица, striːt, Город и деревня
square, площадь, skweə, Город и деревня
park, парк, pɑːk, Город и деревня
shop, магазин, ʃɒp, Город и деревня
market, рынок, ˈmɑːkɪt, Город и деревня
school, школа, skuːl, Город и деревня
hospital, больница, ˈhɒspɪtl, Город и деревня
church, церковь, tʃɜːtʃ, Город и деревня
bridge, мост, brɪdʒ, Город и деревня
road, дорога, rəʊd, Город и деревня
river, река, ˈrɪvə, Город и деревня
farm, ферма, fɑːm, Город и деревня
forest, лес, ˈfɒrɪst, Город и деревня
mountain, гора, ˈmaʊntən, Город и деревня
station, станция, ˈsteɪʃən, Город и деревня
bus stop, автобусная остановка, bʌs stɒp, Город и деревня
café, кафе, ˈkæfeɪ, Город и деревня
hotel, отель, həʊˈtɛl, Город и деревня
red, красный, rɛd, Цвета и формы
blue, синий, bluː, Цвета и формы
green, зеленый, ɡriːn, Цвета и формы
yellow, желтый, ˈjɛləʊ, Цвета и формы
black, черный, blæk, Цвета и формы
white, белый, waɪt, Цвета и формы
orange, оранжевый, ˈɒrɪndʒ, Цвета и формы
pink, розовый, pɪŋk, Цвета и формы
purple, фиолетовый, ˈpɜːpl, Цвета и формы
brown, коричневый, braʊn, Цвета и формы
gray, серый, ɡreɪ, Цвета и формы
circle, круг, ˈsɜːkl, Цвета и формы
square, квадрат, skweə, Цвета и формы
triangle, треугольник, ˈtraɪæŋɡl, Цвета и формы
rectangle, прямоугольник, ˈrɛktæŋɡl, Цвета и формы
oval, овал, ˈəʊvəl, Цвета и формы
diamond, ромб, ˈdaɪəmənd, Цвета и формы
line, линия, laɪn, Цвета и формы
shape, форма, ʃeɪp, Цвета и формы
star, звезда, stɑː, Цвета и формы
spring, весна, sprɪŋ, Времена года и погода
summer, лето, ˈsʌmə, Времена года и погода
autumn, осень, ˈɔːtəm, Времена года и погода
winter, зима, ˈwɪntə, Времена года и погода
rain, дождь, reɪn, Времена года и погода
snow, снег, snəʊ, Времена года и погода
sunny, солнечно, ˈsʌni, Времена года и погода
cloudy, облачно, ˈklaʊdi, Времена года и погода
windy, ветрено, ˈwɪndi, Времена года и погода
foggy, туманно, ˈfɒɡi, Времена года и погода
storm, шторм, stɔːm, Времена года и погода
thunder, гром, ˈθʌndə, Времена года и погода
lightning, молния, ˈlaɪtnɪŋ, Времена года и погода
temperature, температура, ˈtɛmprɪtʃə, Времена года и погода
cold, холодно, kəʊld, Времена года и погода
hot, жарко, hɒt, Времена года и погода
breeze, бриз, briːz, Времена года и погода
rainbow, радуга, ˈreɪnbəʊ, Времена года и погода
frost, мороз, frɒst, Времена года и погода
hail, град, heɪl, Времена года и погода
morning, утро, ˈmɔːnɪŋ, Часы и время
afternoon, день, ˌɑːftəˈnuːn, Часы и время
evening, вечер, ˈiːvnɪŋ, Часы и время
night, ночь, naɪt, Часы и время
hour, час, ˈaʊə, Часы и время
minute, минута, ˈmɪnɪt, Часы и время
second, секунда, ˈsɛkənd, Часы и время
day, день, deɪ, Часы и время
week, неделя, wiːk, Часы и время
month, месяц, mʌnθ, Часы и время
year, год, jɪə, Часы и время
clock, часы, klɒk, Часы и время
watch, наручные часы, wɒtʃ, Часы и время
time, время, taɪm, Часы и время
past, прошло, pɑːst, Часы и время
future, будущее, ˈfjuːtʃə, Часы и время
present, настоящее, ˈprɛznt, Часы и время
calendar, календарь, ˈkælɪndə, Часы и время
midnight, полночь, ˈmɪdnaɪt, Часы и время
sunset, закат, ˈsʌnsɛt, Часы и время
tree, дерево, triː, Растения и цветы
flower, цветок, ˈflaʊə, Растения и цветы
grass, трава, ɡrɑːs, Растения и цветы
leaf, лист, liːf, Растения и цветы
bush, куст, bʊʃ, Растения и цветы
forest, лес, ˈfɒrɪst, Растения и цветы
cactus, кактус, ˈkæktəs, Растения и цветы
oak, дуб, əʊk, Растения и цветы
pine, сосна, paɪn, Растения и цветы
rose, роза, rəʊz, Растения и цветы
tulip, тюльпан, ˈtjuːlɪp, Растения и цветы
daisy, маргаритка, ˈdeɪzi, Растения и цветы
sunflower, подсолнух, ˈsʌnˌflaʊə, Растения и цветы
lily, лилия, ˈlɪli, Растения и цветы
ivy, плющ, ˈaɪvi, Растения и цветы
fern, папоротник, fɜːn, Растения и цветы
blossom, цветение, ˈblɒsəm, Растения и цветы
seed, семя, siːd, Растения и цветы
vine, виноградная лоза, vaɪn, Растения и цветы
bamboo, бамбук, bæmˈbuː, Растения и цветы
teacher, учитель, ˈtiːtʃə, Профессии
doctor, врач, ˈdɒktə, Профессии
nurse, медсестра, nɜːs, Профессии
engineer, инженер, ˌɛnʤɪˈnɪə, Профессии
lawyer, адвокат, ˈlɔːjə, Профессии
chef, шеф-повар, ʃɛf, Профессии
pilot, пилот, ˈpaɪlət, Профессии
artist, художник, ˈɑːtɪst, Профессии
musician, музыкант, mju(ː)ˈzɪʃən, Профессии
farmer, фермер, ˈfɑːmə, Профессии
actor, актер, ˈæktə, Профессии
singer, певец, ˈsɪŋə, Профессии
scientist, ученый, ˈsaɪəntɪst, Профессии
writer, писатель, ˈraɪtə, Профессии
policeman, полицейский, pəˈliːsmən, Профессии
firefighter, пожарный, ˈfaɪəˌfaɪtə, Профессии
driver, водитель, ˈdraɪvə, Профессии
builder, строитель, ˈbɪldə, Профессии
hairdresser, парикмахер, ˈheədˌrɛsə, Профессии
dentist, стоматолог, ˈdɛntɪst, Профессии
reading, чтение, ˈriːdɪŋ, Хобби и увлечения
drawing, рисование, ˈdrɔːɪŋ, Хобби и увлечения
painting, живопись, ˈpeɪntɪŋ, Хобби и увлечения
dancing, танцы, ˈdænsɪŋ, Хобби и увлечения
singing, пение, ˈsɪŋɪŋ, Хобби и увлечения
gardening, садоводство, ˈɡɑːdnɪŋ, Хобби и увлечения
cooking, кулинария, ˈkʊkɪŋ, Хобби и увлечения
traveling, путешествия, ˈtrævəlɪŋ, Хобби и увлечения
fishing, рыбалка, ˈfɪʃɪŋ, Хобби и увлечения
cycling, катание на велосипеде, ˈsaɪklɪŋ, Хобби и увлечения
knitting, вязание, ˈnɪtɪŋ, Хобби и увлечения
photography, фотография, fəˈtɒɡrəfi, Хобби и увлечения
playing chess, игра в шахматы, ˈpleɪɪŋ tʃɛs, Хобби и увлечения
writing, писательство, ˈraɪtɪŋ, Хобби и увлечения
jogging, бег, ˈdʒɒɡɪŋ, Хобби и увлечения
hiking, пеший туризм, ˈhaɪkɪŋ, Хобби и увлечения
collecting, коллекционирование, kəˈlɛktɪŋ, Хобби и увлечения
swimming, плавание, ˈswɪmɪŋ, Хобби и увлечения
playing guitar, игра на гитаре, ˈpleɪɪŋ ɡɪˈtɑː, Хобби и увлечения
board games, настольные игры, bɔːd ɡeɪmz, Хобби и увлечения
internet, интернет, ˈɪntəˌnɛt, Интернет и социальные сети
website, вебсайт, ˈwɛbˌsaɪt, Интернет и социальные сети
email, электронная почта, ˈiːmeɪl, Интернет и социальные сети
social media, социальные сети, ˈsəʊʃəl ˈmiːdiə, Интернет и социальные сети
post, пост, pəʊst, Интернет и социальные сети
comment, комментарий, ˈkɒmɛnt, Интернет и социальные сети
like, лайк, laɪk, Интернет и социальные сети
share, поделиться, ʃeə, Интернет и социальные сети
friend request, запрос в друзья, frɛnd rɪˈkwɛst, Интернет и социальные сети
profile, профиль, ˈprəʊfaɪl, Интернет и социальные сети
follower, подписчик, ˈfɒləʊə, Интернет и социальные сети
message, сообщение, ˈmɛsɪdʒ, Интернет и социальные сети
video call, видеозвонок, ˈvɪdɪəʊ kɔːl, Интернет и социальные сети
hashtag, хэштег, ˈhæʃˌtæɡ, Интернет и социальные сети
blog, блог, blɒɡ, Интернет и социальные сети
streaming, потоковое видео, ˈstriːmɪŋ, Интернет и социальные сети
download, скачивать, ˈdaʊnˌləʊd, Интернет и социальные сети
upload, загружать, ˈʌpˌləʊd, Интернет и социальные сети
password, пароль, ˈpɑːswɜːd, Интернет и социальные сети
search engine, поисковая система, ˈsɜːtʃ ˈɛnʤɪn, Интернет и социальные сети
space, космос, speɪs, Космос и астрономия
star, звезда, stɑː, Космос и астрономия
planet, планета, ˈplænɪt, Космос и астрономия
moon, луна, muːn, Космос и астрономия
sun, солнце, sʌn, Космос и астрономия
galaxy, галактика, ˈɡæləksi, Космос и астрономия
asteroid, астероид, ˈæstərɔɪd, Космос и астрономия
comet, комета, ˈkɒmɪt, Космос и астрономия
black hole, черная дыра, blæk həʊl, Космос и астрономия
orbit, орбита, ˈɔːbɪt, Космос и астрономия
satellite, спутник, ˈsætəlaɪt, Космос и астрономия
telescope, телескоп, ˈtɛlɪskəʊp, Космос и астрономия
astronaut, астронавт, ˈæstrənɔːt, Космос и астрономия
meteor, метеор, ˈmiːtɪə, Космос и астрономия
universe, вселенная, ˈjuːnɪvɜːs, Космос и астрономия
rocket, ракета, ˈrɒkɪt, Космос и астрономия
gravity, гравитация, ˈɡrævɪti, Космос и астрономия
light year, световой год, laɪt jɪə, Космос и астрономия
constellation, созвездие, ˌkɒnstəˈleɪʃən, Космос и астрономия
spacesuit, скафандр, ˈspeɪsˌsuːt, Космос и астрономия


